state,area,population,GDP,publications_count,primary_ed_idx,education_spending,avg_salary
Argentina,2780400,44694198,23283,8811,3.3,5.5,845.53
Australia,7686850,23470145,51036,53610,5.4,5.3,3306.13
Austria,83858,8793370,56871,12362,4.8,5.5,1982.06
Bangladesh,144000,159453001,3998,3135,3.1,2.0,331.59
Belgium,30528,11570762,52250,15688,5.7,6.5,2048.73
Botswana,581730,2249104,18050,281,3.8,9.6,680
Brasilia,8515767,208846892,14941,60148,2.6,6.2,586.63
Brunei,5770,450565,61814,294,5.0,4.4,1100.15
Canada,9984670,35881659,50078,59968,5.6,5.3,2253.74
Chile,756950,17925262,24765,7122,3.2,5.4,872.62
China,9598962,1384688986,15603,528263,4.7,1.9,888.29
Costa Rica,51100,4987142,19873,507,4.7,7.0,846.34
Croatia,56542,4270480,28039,4277,4.0,4.6,751.08
Cyprus,9250,1237088,39737,1245,4.2,6.3,1188.79
Czech Republic,78866,10686269,40389,15577,4.9,5.6,908.43
Denmark,43094,5809502,57218,13979,4.8,7.6,3068.11
Egypt,1001450,99413317,11635,13327,2.4,3.8,288.35
Estonia,45226,1244288,36358,1415,5.8,5.2,909.38
Finland,337030,5537364,49373,10599,6.7,6.9,2451.07
France,547030,67364357,46605,66352,4.7,5.7,2121.82
Georgia,69700,4926087,14594,550,3.1,3.8,264.9
Germany,357021,80457737,54457,104396,5.3,4.8,2420.63
Ghana,238540,28102471,5317,1276,3.4,4.0,321.22
Great Britain,244820,65105246,46956,97681,5.0,5.5,2270.29
Greece,131940,10761523,30354,10907,3.9,4.0,862.39
Guatemala,108890,16581273,8648,100,2.6,2.9,577.11
Honduras,112090,9182766,5806,45,3.1,6.1,150
Hungary,93030,9825704,31579,6701,3.5,4.7,544.18
Iceland,103000,343518,57742,681,5.4,7.5,2307.46
India,3287263,1296834042,6650,135788,4.5,3.8,501.72
Indonesia,1904556,262787403,11640,26948,4.5,3.6,322.05
Iordania,89400,10458413,10086,2627,4.1,3.6,619.35
Ireland,78866,5068050,84460,7174,5.6,3.7,2609.14
Israel,22072,8424904,40261,12235,4.7,5.8,2079.5
Italy,301340,62246674,42816,71240,4.8,3.8,1841.34
Jamaica,10990,2812090,9968,164,4.3,5.4,1030
Japan,377835,126168156,41336,98793,5.4,3.2,2495.92
Kazakhstan,2724902,18744548,26147,2367,4.0,2.8,360.75
Kuwait,17820,2916467,51670,1004,3.1,3.8,2358.91
Latvia,64589,1923559,30645,1418,4.6,4.7,668.86
Lebanon,10452,6100075,15980,1776,5.4,2.4,1056.87
Lithuania,65200,2793284,35832,2267,4.5,4.0,668.39
Luxembourg,2586,605764,116786,869,4.8,4.0,3565
Malaysia,329750,31809660,28187,23661,5.1,4.5,892.22
Malta,316,449043,43555,422,5.5,5.2,1200.53
Mauritania,1030700,3840429,5161,20,2.6,2.6,380
Mauritius,2040,1364283,22732,127,4.5,4.8,778
Mexico,1972550,125959205,20396,16346,3.0,4.9,551.98
Mongolia,1566600,3103428,12197,141,3.8,4.1,458
Morocco,446550,34314130,7613,5057,2.8,5.3,389.45
Netherlands,41526,17151228,57565,30457,5.9,5.5,2473.05
Nigeria,923768,203452505,5888,5602,2.8,3.1,325.46
Norway,324220,5372191,67640,11803,5.5,8.0,3176.34
Oman,309500,3494116,29269,856,3.9,5.0,1891.73
Pakistan,803940,207862518,5249,12904,3.3,2.9,259.55
Panama,78200,3800644,31782,173,3.2,3.2,683.51
Peru,1285220,31331228,13084,1630,2.6,3.7,502.92
Philippines,299764,105893381,8717,2237,4.1,2.7,323.89
Poland,312685,38420687,31834,35663,4.6,4.6,766.58
Portugal,92082,10355493,34341,14295,5.0,4.9,883.61
Qatar,11437,2363569,96733,1503,5.6,2.9,3372.63
Romania,237500,21457116,29214,10345,3.9,3.0,502.29
Russia,17125191,142122776,28764,81579,4.4,3.7,637.7
Rwanda,26338,12187400,2138,170,4.3,3.1,75
Salvador,21040,6187271,8819,45,2.6,3.6,350.47
Saudi Arabia,2149690,33091113,48720,10898,4.1,5.1,1868.24
Serbia,88361,7078110,17563,4523,4.1,3.7,369.52
Singapore,778,5995991,100051,11459,6.2,2.9,3148.24
Slovenia,20253,2102126,38749,3206,5.2,4.8,1118.92
South Korea,100210,51418097,42136,66376,4.6,4.6,2167.48
Spain,504782,49331076,40483,54537,4.2,4.2,1412.39
Sweden,449964,10040995,53747,20421,4.7,7.7,2360.21
Switzerland,41290,8292809,69357,21379,6.2,5.1,5426.27
Tajikistan,143100,8604882,3311,62,4.1,5.2,110
Thailand,504782,68615858,18513,12514,3.5,4.1,414.8
Turkey,780580,81257239,28139,33536,3.1,2.8,689.34
Ukraine,603549,43952299,12629,10380,4.6,5.4,194.88
Uruguay,176220,3369299,22100,852,3.4,4.8,613.12
Vietnam,329560,97040334,7765,4286,3.4,4.2,254.13
New_Zealand,268680,4545627,42811,7889,5.7,6.4,2406.44
